Stock_Code,Date,Mean_Sentiment_Score
EICHERMOT,7/11/2022,0.133966667
EICHERMOT,7/12/2022,0.4019
EICHERMOT,7/19/2022,0
EICHERMOT,7/24/2022,0
EICHERMOT,7/28/2022,0
EICHERMOT,8/1/2022,0.2787
EICHERMOT,8/5/2022,-0.3182
GRASIM,1/20/2022,0.4019
GRASIM,2/10/2022,0.8658
GRASIM,2/11/2022,0
GRASIM,2/14/2022,0
GRASIM,2/15/2022,0
GRASIM,3/7/2022,-0.7003
GRASIM,3/10/2022,0.647133333
GRASIM,3/16/2022,0.4019
GRASIM,3/21/2022,0.176633333
GRASIM,3/22/2022,-0.25
GRASIM,3/30/2022,0.7717
GRASIM,4/8/2022,0.5994
GRASIM,4/11/2022,0.4019
GRASIM,4/12/2022,0.4019
GRASIM,4/21/2022,0
GRASIM,5/24/2022,0.4019
GRASIM,5/25/2022,0
GRASIM,6/3/2022,0.20095
GRASIM,6/9/2022,-0.5106
GRASIM,6/10/2022,0.4019
GRASIM,6/16/2022,0
GRASIM,6/20/2022,0.296
GRASIM,7/20/2022,0
GRASIM,7/27/2022,0.2023
HCLTECH,5/18/2022,0.3141
HCLTECH,5/23/2022,0.4019
HCLTECH,5/24/2022,0.4019
HCLTECH,5/27/2022,0
HCLTECH,6/2/2022,0.5177
HCLTECH,6/3/2022,0.6482
HCLTECH,6/5/2022,0
HCLTECH,6/6/2022,-0.7964
HCLTECH,6/7/2022,0
HCLTECH,6/8/2022,0.267333333
HCLTECH,6/9/2022,0
HCLTECH,6/11/2022,-0.4404
HCLTECH,6/12/2022,0.2568
HCLTECH,6/13/2022,0.47965
HCLTECH,6/16/2022,0.133966667
HCLTECH,6/17/2022,0.3682
HCLTECH,6/20/2022,0.2997
HCLTECH,6/21/2022,0
HCLTECH,6/22/2022,0.20095
HCLTECH,6/23/2022,0
HCLTECH,6/24/2022,0.5994
HCLTECH,6/26/2022,0.2202
HCLTECH,6/27/2022,0.5994
HCLTECH,6/29/2022,0.4019
HCLTECH,7/1/2022,0.2294
HCLTECH,7/4/2022,0.2997
HCLTECH,7/5/2022,0.4019
HCLTECH,7/6/2022,0.1998
HCLTECH,7/11/2022,0.133966667
HCLTECH,7/12/2022,0.07556
HCLTECH,7/13/2022,0.032175
HCLTECH,7/14/2022,0.4019
HCLTECH,7/15/2022,0.44025
HCLTECH,7/17/2022,0.7783
HCLTECH,7/18/2022,0
HCLTECH,7/19/2022,0.256466667
HDFCBANK,7/18/2022,0.298466667
HDFCBANK,7/19/2022,-0.21075
HDFCBANK,7/20/2022,0
HDFCBANK,7/21/2022,0.2263
HDFCBANK,7/22/2022,-0.2732
HDFCBANK,7/23/2022,0.4767
HDFCBANK,7/24/2022,0.30082
HDFCBANK,7/25/2022,0.2331875
HDFCBANK,7/26/2022,0.350666667
HDFCBANK,7/27/2022,0.134
HDFCBANK,7/29/2022,0.4404
HDFCBANK,7/30/2022,0
HDFCBANK,8/2/2022,0.233866667
HDFCBANK,8/3/2022,0.09545
HDFCBANK,8/4/2022,-0.395025
HDFCBANK,8/5/2022,0.4767
HDFCBANK,8/6/2022,0
HDFCBANK,8/8/2022,0
HDFCLIFE,7/5/2021,0.5994
HDFCLIFE,7/19/2021,-0.061333333
HDFCLIFE,8/18/2021,-0.1531
HDFCLIFE,8/25/2021,0.29325
HDFCLIFE,8/26/2021,0.5994
HDFCLIFE,9/2/2021,0.1998
HDFCLIFE,9/3/2021,0.50065
HDFCLIFE,9/9/2021,0.2997
HDFCLIFE,9/13/2021,0
HDFCLIFE,9/23/2021,0.5994
HDFCLIFE,10/12/2021,0.5994
HDFCLIFE,10/22/2021,0
HDFCLIFE,11/3/2021,0.2023
HDFCLIFE,11/4/2021,0.4019
HDFCLIFE,11/29/2021,0.5994
